Date,Daily,Cumulative cases
1/22/2020,1,1
1/23/2020,0,1
1/24/2020,1,2
1/25/2020,0,2
1/26/2020,3,5
1/27/2020,0,5
1/28/2020,0,5
1/29/2020,1,6
1/30/2020,0,6
1/31/2020,2,8
2/1/2020,0,8
2/2/2020,0,8
2/3/2020,3,11
2/4/2020,0,11
2/5/2020,0,11
2/6/2020,1,12
2/7/2020,0,12
2/8/2020,0,12
2/9/2020,0,12
2/10/2020,0,12
2/11/2020,1,13
2/12/2020,0,13
2/13/2020,1,14
2/14/2020,0,14
2/15/2020,0,14
2/16/2020,0,14
2/17/2020,0,14
2/18/2020,0,14
2/19/2020,0,14
2/20/2020,0,14
2/21/2020,2,16
2/22/2020,0,16
2/23/2020,0,16
2/24/2020,0,16
2/25/2020,0,16
2/26/2020,0,16
2/27/2020,1,17
2/28/2020,0,17
2/29/2020,8,25
3/1/2020,7,32
3/2/2020,23,55
3/3/2020,19,74
3/4/2020,33,107
3/5/2020,77,184
3/6/2020,53,237
3/7/2020,166,403
3/8/2020,116,519
3/9/2020,75,594
3/10/2020,188,782
3/11/2020,365,1147
3/12/2020,439,1586
3/13/2020,633,2219
3/14/2020,759,2978
3/15/2020,234,3212
3/16/2020,1467,4679
3/17/2020,1833,6512
3/18/2020,2657,9169
3/19/2020,4494,13663
3/20/2020,6367,20030
3/21/2020,5995,26025
3/22/2020,8919,34944
3/23/2020,11152,46096
3/24/2020,10618,56714
3/25/2020,12127,68841
3/26/2020,17821,86662
3/27/2020,18591,105253
3/28/2020,22164,127417
3/29/2020,16127,143544
3/30/2020,22154,165698
3/31/2020,26381,192079
4/1/2020,32319,224398
4/2/2020,32346,256744
4/3/2020,32396,289140
4/4/2020,32337,321477
4/5/2020,29354,350831
4/6/2020,31894,382725
4/7/2020,30548,413273
4/8/2020,31145,444418
4/9/2020,36094,480512
4/10/2020,34244,514756
4/11/2020,29192,543948
4/12/2020,26909,570857
4/13/2020,26991,597848
4/14/2020,28454,626302
4/15/2020,25961,652263
4/16/2020,30256,682519
4/17/2020,33001,715520
4/18/2020,27917,743437
4/19/2020,25872,769309
4/20/2020,29789,799098
4/21/2020,26270,825368
4/22/2020,28961,854329
4/23/2020,33254,887583
4/24/2020,32339,919922
4/25/2020,30378,950300
4/26/2020,26673,976973
4/27/2020,23793,1000766
4/28/2020,24763,1025529
4/29/2020,26259,1051788
4/30/2020,29289,1081077
5/1/2020,34917,1115994
5/2/2020,27388,1143382
5/3/2020,24198,1167580
5/4/2020,24332,1191912
5/5/2020,24495,1216407
5/6/2020,24240,1240647
5/7/2020,27729,1268376
5/8/2020,27257,1295633
5/9/2020,24582,1320215
5/10/2020,19050,1339265
5/11/2020,18989,1358254
5/12/2020,22885,1381139
5/13/2020,20631,1401770
5/14/2020,26619,1428389
5/15/2020,24829,1453218
5/16/2020,24157,1477375
5/17/2020,18639,1496014
5/18/2020,22324,1518338
5/19/2020,20809,1539147
5/20/2020,22796,1561943
5/21/2020,25962,1587905
5/22/2020,23603,1611508
5/23/2020,21001,1632509
5/24/2020,20448,1652957
5/25/2020,18443,1671400
5/26/2020,18974,1690374
5/27/2020,19490,1709864
5/28/2020,21622,1731486
5/29/2020,24789,1756275
5/30/2020,24073,1780348
5/31/2020,19334,1799682
6/1/2020,17078,1816760
6/2/2020,21317,1838077
6/3/2020,19785,1857862
6/4/2020,21753,1879615
6/5/2020,25012,1904627
6/6/2020,21234,1925861
6/7/2020,18399,1944260
6/8/2020,16567,1960827
6/9/2020,18118,1978945
6/10/2020,21086,2000031
6/11/2020,22402,2022433
6/12/2020,25283,2047716
6/13/2020,24994,2072710
6/14/2020,19331,2092041
6/15/2020,18583,2110624
6/16/2020,23901,2134525
6/17/2020,27340,2161865
6/18/2020,28278,2190143
6/19/2020,31685,2221828
6/20/2020,32534,2254362
6/21/2020,26067,2280429
6/22/2020,31156,2311585
6/23/2020,37266,2348851
6/24/2020,36212,2385063
6/25/2020,40260,2425323
6/26/2020,46318,2471641
6/27/2020,41696,2513337
6/28/2020,41796,2555133
6/29/2020,39703,2594836
6/30/2020,48368,2643204
7/1/2020,51566,2694770
7/2/2020,56373,2751143
7/3/2020,52618,2803761
7/4/2020,48823,2852584
7/5/2020,50336,2902920
7/6/2020,43004,2945924
7/7/2020,58859,3004783
7/8/2020,59647,3064430
7/9/2020,60953,3125383
7/10/2020,67799,3193182
7/11/2020,61259,3254441
7/12/2020,60588,3315029
7/13/2020,57726,3372755
7/14/2020,66475,3439230
7/15/2020,67942,3507172
7/16/2020,76045,3583217
7/17/2020,72182,3655399
7/18/2020,63708,3719107
7/19/2020,61259,3780366
7/20/2020,60505,3840871
7/21/2020,65546,3906417
7/22/2020,70380,3976797
7/23/2020,68237,4045034
7/24/2020,74139,4119173
7/25/2020,66753,4185926
7/26/2020,56006,4241932
7/27/2020,56580,4298512
7/28/2020,63639,4362151
7/29/2020,68463,4430614
7/30/2020,67924,4498538
7/31/2020,68435,4566973
8/1/2020,58937,4625910
8/2/2020,45935,4671845
8/3/2020,45535,4717380
8/4/2020,54937,4772317
8/5/2020,55889,4828206
8/6/2020,57213,4885419
8/7/2020,61084,4946503
8/8/2020,55008,5001511
8/9/2020,48021,5049532
8/10/2020,45491,5095023
8/11/2020,52578,5147601
8/12/2020,52807,5200408
8/13/2020,51485,5251893
8/14/2020,65052,5316945
8/15/2020,49638,5366583
8/16/2020,39979,5406562
8/17/2020,35774,5442336
8/18/2020,42851,5485187
8/19/2020,44270,5529457
8/20/2020,44601,5574058
8/21/2020,48790,5622848
8/22/2020,44366,5667214
8/23/2020,34498,5701712
8/24/2020,34935,5736647
8/25/2020,40883,5777530
8/26/2020,43972,5821502
8/27/2020,45993,5867495
8/28/2020,46532,5914027
8/29/2020,44224,5958251
8/30/2020,34820,5993071
8/31/2020,32722,6025793
9/1/2020,42846,6068639
9/2/2020,40727,6109366
9/3/2020,44349,6153715
9/4/2020,50687,6204402
9/5/2020,43396,6247798
9/6/2020,30989,6278787
9/7/2020,24062,6302849
9/8/2020,25650,6328499
9/9/2020,34403,6362902
9/10/2020,35951,6398853
9/11/2020,47995,6446848
9/12/2020,41700,6488548
9/13/2020,34451,6522999
9/14/2020,33284,6556283
9/15/2020,39481,6595764
9/16/2020,38927,6634691
9/17/2020,45223,6679914
9/18/2020,49155,6729069
9/19/2020,42585,6771654
9/20/2020,38901,6810555
9/21/2020,50752,6861307
9/22/2020,40092,6901399
9/23/2020,38928,6940327
9/24/2020,47388,6987715
9/25/2020,48382,7036097
9/26/2020,44947,7081044
9/27/2020,38076,7119120
9/28/2020,32684,7151804
9/29/2020,43585,7195389
9/30/2020,39124,7234513
10/1/2020,46000,7280513
10/2/2020,55168,7335681
10/3/2020,49498,7385179
10/4/2020,35563,7420742
10/5/2020,38342,7459084
10/6/2020,45406,7504490
10/7/2020,51146,7555636
10/8/2020,59050,7614686
