Country/Region,Lat,Long,Total_cases,Total_deaths,Total_recovered
Afghanistan,33.93911,67.709953,156510,7292,82586
Albania,41.1533,20.1683,192600,2986,130314
Algeria,28.0339,1.6596,207873,5977,118409
Andorra,42.5063,1.5218,15819,130,14380
Angola,-11.2027,17.8739,64899,1727,39582
Antigua and Barbuda,17.0608,-61.7964,4118,107,1239
Argentina,-38.4161,-63.6167,5305151,116228,4615834
Armenia,40.0691,45.0382,328081,6976,220438
Australia,-35.4735,149.0124,1943,14,121
Australia,-33.8688,151.2093,78393,609,0
Australia,-12.4634,130.8456,232,0,193
Australia,-27.4698,153.0251,2106,7,1727
Australia,-34.9285,138.6007,920,4,841
Australia,-42.8821,147.3272,237,13,221
Australia,-37.8136,144.9631,104665,1226,20061
Australia,-31.9505,115.8605,1112,9,1039
Austria,47.5162,14.5501,948100,11689,644388
Azerbaijan,40.1431,47.5769,558431,7416,333694
Bahamas,25.025885,-78.035889,22572,665,12702
Bahrain,26.0275,50.55,277201,1393,267220
Bangladesh,23.685,90.3563,1572278,27918,1141157
Barbados,13.1939,-59.5432,21877,191,4251
Belarus,53.7098,27.9534,625592,4834,443417
Belgium,50.8333,4.469936,1484712,26321,0
Belize,17.1899,-88.4976,28899,534,13543
Benin,9.3077,2.3158,24833,161,8136
Bhutan,27.5142,90.4336,2625,3,2418
Bolivia,-16.2902,-63.5887,522530,19004,411830
Bosnia and Herzegovina,43.9159,17.6791,263587,11962,189710
Botswana,-22.3285,24.6849,193701,2411,96964
Brazil,-14.235,-51.9253,21953838,611222,17771228
Brunei,4.5353,114.7277,14172,96,280
Bulgaria,42.7339,25.4858,654819,26191,398721
Burkina Faso,12.2383,-1.5616,15281,234,13385
Burma,21.9162,95.956,512548,18913,225849
Burundi,-3.3731,29.9189,20221,38,773
Cabo Verde,16.5388,-23.0418,38293,350,33173
Cambodia,11.55,104.9167,119481,2861,72803
Cameroon,3.848,11.5021,106190,1770,35261
Canada,53.9333,-116.5765,329030,3171,1405971
Canada,53.7267,-127.6476,211750,2257,0
Canada,53.7609,-98.8139,65371,1269,0
Canada,46.5653,-66.4619,7129,121,0
Canada,53.1355,-57.6604,2025,16,0
Canada,64.8255,-124.8457,2001,12,0
Canada,44.682,-63.7443,7815,102,0
Canada,70.2998,-83.1076,674,4,0
Canada,51.2538,-85.3232,614656,9978,0
Canada,46.5107,-63.4168,324,0,0
Canada,52.9399,-73.5491,433705,11541,0
Canada,52.9399,-106.4509,79387,893,0
Canada,64.2823,-135.0,1181,11,0
Central African Republic,6.6111,20.9394,11666,101,6859
Chad,15.4542,18.7322,5107,175,4796
Chile,-35.6751,-71.543,1723728,37951,1575377
China,31.8257,117.2264,1008,6,1002
China,40.1824,116.4142,1185,9,1068
China,30.0572,107.874,610,6,593
China,26.0789,117.9874,1316,1,702
China,35.7518,104.2861,344,2,193
China,23.3417,113.4244,3253,8,2822
China,23.8298,108.7881,362,2,273
China,26.8154,106.8748,159,2,145
China,19.1959,109.7453,190,6,182
China,39.549,116.1306,1452,7,1310
China,47.862,127.7615,1988,13,1599
China,37.8957,114.9042,1629,22,1295
China,22.3,114.2,12380,213,11721
China,30.9756,112.2707,68311,4512,63667
China,27.6104,111.7088,1197,4,1064
China,44.0935,113.9448,618,1,398
China,32.9711,119.455,1603,0,752
China,27.614,115.7221,959,1,936
China,43.6661,126.1923,581,3,570
China,41.2956,122.6085,707,2,428
China,22.1667,113.55,77,0,54
China,37.2692,106.1655,122,0,76
China,35.7452,95.9956,30,0,18
China,35.1917,108.8701,701,3,633
China,36.3427,118.1498,995,7,876
China,31.202,121.4491,2787,7,2253
China,37.5777,112.2922,263,0,253
China,30.6171,102.7103,1259,3,1113
China,39.3054,117.323,518,3,400
China,31.6927,88.0924,1,0,1
China,41.1129,85.2401,981,3,977
China,24.974,101.487,1635,2,477
China,29.1832,120.0934,1499,1,1377
Colombia,4.5709,-74.2973,5029335,127766,4615354
Comoros,-11.6455,43.3333,4371,149,3873
Congo (Brazzaville),-0.228,15.8277,18153,309,12421
Congo (Kinshasa),-4.0383,21.7587,57729,1099,30043
Costa Rica,9.7489,-83.7534,564159,7197,334759
Cote d'Ivoire,7.54,-5.5471,61503,702,49642
Croatia,45.1,15.2,534601,9840,354830
Cuba,21.521757,-77.781167,958390,8279,373354
Cyprus,35.1264,33.4299,127036,587,39061
Czechia,49.8175,15.473,1881206,31431,1641321
Denmark,61.8926,-6.9118,2903,8,963
Denmark,71.7069,-42.6043,990,0,87
Denmark,56.2639,9.5018,420099,2760,306324
Djibouti,11.8251,42.5903,13495,186,11491
Dominica,15.415,-61.371,5235,34,209
Dominican Republic,18.7357,-70.1627,394608,4166,324861
Ecuador,-1.8312,-78.1834,519560,32989,443880
Egypt,26.820553,30.802498,343026,19435,232179
El Salvador,13.7942,-88.8965,117722,3721,76670
Equatorial Guinea,1.6508,10.2679,13485,168,8709
Eritrea,15.1794,39.7823,7051,48,6475
Estonia,58.5953,25.0136,211535,1668,129183
Eswatini,-26.5225,31.4659,46472,1245,22127
Ethiopia,9.145,40.4897,368646,6613,264008
Fiji,-17.7134,178.065,52397,679,10848
Finland,61.92411,25.748151,167119,1216,46000
France,3.9339,-53.1258,45306,318,9995
France,-17.6797,149.4068,45573,636,19599
France,16.265,-61.551,54672,822,2250
France,14.6415,-61.0242,43962,700,104
France,-12.8275,45.166244,20769,185,2964
France,-20.904305,165.618042,11563,272,58
France,-21.1151,55.5364,55865,376,35563
France,17.9,-62.8333,1661,6,462
France,46.8852,-56.3159,32,0,26
France,18.0708,-63.0501,3975,56,1399
France,-14.2938,-178.1165,454,7,438
France,46.2276,2.2137,7093651,115707,342253
Gabon,-0.8037,11.6094,36692,266,25228
Gambia,13.4432,-15.3101,9980,341,7310
Georgia,42.3154,43.3569,780391,10894,390827
Germany,51.165691,10.451526,5037039,97677,3659260
Ghana,7.9465,-1.0232,130649,1206,98633
Greece,39.0742,21.8243,828032,16686,93764
Grenada,12.1165,-61.679,5863,200,161
Guatemala,15.7835,-90.2308,609729,15698,331374
Guinea,9.9456,-9.6966,30715,387,24463
Guinea-Bissau,11.8037,-15.1804,6363,143,4027
Guyana,4.860416,-58.93018,36741,957,22327
Haiti,18.9712,-72.2852,24543,708,12961
Holy See,41.9029,12.4534,27,0,27
Honduras,15.2,-86.2419,376873,10350,102384
Hungary,47.1625,19.5033,939784,31867,749773
Iceland,64.9631,-19.0208,15321,34,6993
India,20.593684,78.96288,34437307,463530,30974748
Indonesia,-0.7893,113.9213,4250516,143644,2907920
Iran,32.427908,53.688046,6031575,128042,3444798
Iraq,33.223191,43.679291,2068388,23483,1494760
Ireland,53.1424,-7.6921,494643,5566,23364
Israel,31.046051,34.851612,1336882,8140,854888
Italy,41.87194,12.56738,4852496,132739,4144608
Jamaica,18.1096,-77.2975,90149,2322,47101
Japan,36.204824,138.252924,1724767,18321,852451
Jordan,31.24,36.51,889671,11215,752624
Kazakhstan,48.0196,66.9237,1037638,17461,555079
Kenya,-0.0236,37.9062,254276,5316,191188
Kiribati,-3.3704,-168.734,2,0,0
"Korea, South",35.907757,127.766922,395460,3103,180719
Kosovo,42.602636,20.902977,160934,2980,105688
Kuwait,29.31166,47.481766,412982,2462,388880
Kyrgyzstan,41.20438,74.766098,182267,2702,150852
Laos,19.85627,102.495496,53207,96,3804
Latvia,56.8796,24.6032,239575,3734,135690
Lebanon,33.8547,35.8623,651788,8577,537653
Lesotho,-29.61,28.2336,21688,660,6664
Liberia,6.428055,-9.429499,5818,287,2715
Libya,26.3351,17.228331,364076,5275,195639
Liechtenstein,47.14,9.55,3846,61,3011
Lithuania,55.1694,23.8813,441784,6293,269840
Luxembourg,49.8153,6.1296,84248,855,72306
Madagascar,-18.766947,46.869107,43672,964,41177
Malawi,-13.2543,34.3015,61843,2302,39841
Malaysia,4.210484,101.975766,2541147,29631,962731
Maldives,3.2028,73.2207,89713,247,75095
Mali,17.570692,-3.996166,16643,585,13962
Malta,35.9375,14.3754,38168,462,32438
Marshall Islands,7.1315,171.1845,4,0,4
Mauritania,21.0079,-10.9408,38069,807,22859
Mauritius,-20.348404,57.552152,18979,240,1854
Mexico,23.6345,-102.5528,3841661,290872,2270427
Micronesia,7.4256,150.5508,1,0,1
Moldova,47.4116,28.3699,352670,8446,252421
Monaco,43.7333,7.4167,3478,36,2759
Mongolia,46.8625,103.8467,372187,1869,158685
Montenegro,42.708678,19.37439,151730,2200,99152
Morocco,31.7917,-7.0926,948157,14740,582692
Mozambique,-18.665695,35.529562,151422,1934,100912
Namibia,-22.9576,18.4904,129041,3564,96568
Nepal,28.1667,84.25,816675,11471,661651
Netherlands,12.5211,-69.9683,16076,172,11259
Netherlands,12.1784,-68.2385,2616,21,1673
Netherlands,12.1696,-68.99,17216,175,13157
Netherlands,18.0425,-63.0548,4532,75,2682
Netherlands,52.1326,5.2913,2283083,18728,0
New Zealand,-21.2367,-159.7777,1,0,0
New Zealand,-40.9006,174.886,8692,33,2824
